category,price,seller_id,seller_rating,reviews_count,product_rating,image_count,is_verified_seller,discount,shipping_days,Label
Electronics,1114.91,S350,1.9,839,3.7,5,TRUE,75,7,Fake
Electronics,356.66,S716,1.1,1628,3.9,5,FALSE,28,8,Fake
Electronics,1050.23,S448,2.1,1763,4.8,3,TRUE,11,7,Fake
Home,870.25,S821,1.3,1866,4.1,1,TRUE,12,7,Fake
Home,1030.08,S963,4.1,458,1.9,1,FALSE,51,5,Fake
Home,326.81,S611,2.6,3758,1.6,2,TRUE,71,9,Fake
Home,1155.21,S448,1.4,3561,1.6,1,FALSE,64,13,Fake
Electronics,835.34,S702,1.9,581,3.8,1,TRUE,8,15,Fake
Home,240.65,S403,1.9,479,3.3,5,TRUE,40,1,Fake
Watches,1379.89,S643,1.6,4160,1.3,2,TRUE,76,2,Fake
Clothing,188.63,S683,2,4870,1.2,1,FALSE,84,10,Fake
Footwear,737.91,S966,1.2,3469,4.3,1,TRUE,42,13,Fake
Home,230.66,S230,1.2,2987,4.6,1,FALSE,26,11,Fake
Clothing,1175.76,S521,4.2,2032,2.1,1,FALSE,4,14,Fake
Footwear,477.73,S968,1.5,2460,3,4,FALSE,51,12,Fake
Clothing,636.47,S488,3.7,1425,3.5,3,FALSE,70,14,Fake
Clothing,432.84,S779,3.5,2745,1.4,2,FALSE,28,13,Fake
Electronics,234.74,S492,3.8,1752,1.3,4,FALSE,69,8,Fake
Electronics,967.7,S238,4.5,1488,1.2,4,FALSE,27,8,Fake
Footwear,260.01,S721,4.9,938,4.1,2,FALSE,13,10,Fake
Footwear,1019.25,S484,2.6,1624,1.3,2,TRUE,89,13,Fake
Footwear,1461.7,S666,2.2,1034,3.6,4,TRUE,1,10,Fake
Watches,517.65,S152,2,3913,1.5,1,FALSE,62,2,Fake
Clothing,576.76,S553,2.2,4821,5,3,TRUE,78,12,Fake
Footwear,1008.5,S978,1.6,3372,3.8,3,FALSE,70,1,Fake
Footwear,491.68,S891,2.6,4215,4.3,1,FALSE,52,1,Fake
Watches,1402.03,S619,2.1,21,2.1,3,FALSE,19,8,Fake
Electronics,257.88,S406,4.6,376,2.3,1,FALSE,45,6,Fake
Clothing,623.96,S798,4.2,1392,1.7,5,FALSE,79,11,Fake
Home,355.96,S753,2,2091,3.7,4,FALSE,86,9,Fake
Electronics,1120.31,S952,4.6,2344,4.1,2,FALSE,28,11,Fake
Home,1235.4,S480,1.4,1915,2.9,5,FALSE,78,4,Fake
Footwear,1353.53,S760,2.4,3261,2.1,1,FALSE,11,11,Fake
Home,326.98,S772,2.9,886,2.4,5,FALSE,14,13,Fake
Footwear,533.02,S285,4.5,4639,3.6,1,TRUE,81,1,Fake
Home,570.53,S564,2.4,3031,2.2,3,TRUE,6,3,Fake
Home,1249.72,S470,1.4,867,2,5,FALSE,67,2,Fake
Clothing,163.18,S362,1.8,4934,1.6,1,TRUE,80,8,Fake
Electronics,895.18,S493,2.9,4540,4.8,1,FALSE,73,11,Fake
Footwear,841.37,S495,2.1,4937,4.5,3,TRUE,74,11,Fake
Footwear,1008.47,S948,4.8,4312,1.4,4,FALSE,2,6,Fake
Clothing,1422.03,S597,1.8,1126,1.6,3,TRUE,64,13,Fake
Electronics,416.46,S625,1.6,3583,1.4,2,FALSE,44,15,Fake
Footwear,215.02,S393,4.7,3870,3.8,2,FALSE,57,10,Fake
Electronics,391.33,S955,1.6,4987,3.1,1,FALSE,30,5,Fake
Clothing,649.57,S729,2.4,4674,2.7,1,FALSE,8,9,Fake
Watches,951.29,S930,1.5,3749,1.1,2,TRUE,25,15,Fake
Footwear,407.41,S184,3.9,646,2.7,2,FALSE,41,2,Fake
Footwear,674.41,S834,2.7,3636,2.4,1,FALSE,78,7,Fake
Electronics,1010.06,S515,2.5,1310,4.8,2,FALSE,4,3,Fake
Footwear,580.45,S680,1.1,1256,3.7,3,FALSE,56,13,Fake
Home,400.05,S366,3.8,1757,5,3,FALSE,25,2,Fake
Clothing,49.16,S667,3.3,3828,4.2,5,TRUE,78,15,Fake
Electronics,781.97,S411,1.7,2643,4.7,2,FALSE,66,15,Fake
Electronics,302.49,S664,2.1,2480,3.5,1,TRUE,75,10,Fake
Home,513.05,S677,1.2,232,1.3,5,FALSE,83,4,Fake
Watches,685.78,S805,1.2,3601,2.7,4,TRUE,43,10,Fake
Clothing,154.25,S397,4.8,3425,2,2,FALSE,73,12,Fake
Footwear,1409.03,S873,1.6,4935,3,5,TRUE,5,1,Fake
Home,1164.16,S489,1.6,1984,1.1,1,TRUE,2,8,Fake
Watches,571.47,S277,2.8,4367,2.4,3,FALSE,78,8,Fake
Electronics,1386.77,S771,2,3924,1.9,5,FALSE,71,12,Fake
Electronics,1113.93,S345,2,4350,1.9,2,TRUE,12,7,Fake
Watches,979.3,S874,4.9,2631,2.1,1,TRUE,83,10,Fake
Footwear,1215.13,S438,1.6,3759,3.6,2,TRUE,43,13,Fake
Clothing,920.32,S754,4.6,3503,3.1,1,FALSE,85,2,Fake
Clothing,492.17,S354,1,3142,1.9,3,FALSE,38,10,Fake
Electronics,675.65,S820,2.4,4621,1.4,5,TRUE,73,9,Fake
Footwear,668.34,S796,1.8,4777,3,5,FALSE,7,8,Fake
Electronics,641.31,S817,1.3,493,4.7,1,FALSE,4,5,Fake
Watches,575.12,S335,2,2835,1.6,2,TRUE,4,13,Fake
Clothing,715.54,S969,1.9,1182,4.2,1,FALSE,53,9,Fake
Clothing,1373.54,S665,2.3,2318,2.5,5,FALSE,39,5,Fake
Electronics,214.86,S745,1.9,1237,1,5,FALSE,47,1,Fake
Home,992.33,S116,1,4519,2.6,1,FALSE,68,5,Fake
Home,990.58,S283,4.7,2576,1.1,2,TRUE,50,15,Fake
Clothing,132.24,S257,2.5,1263,4,3,FALSE,13,2,Fake
Footwear,546.28,S376,1.4,715,1.7,4,FALSE,13,1,Fake
Clothing,786.45,S801,2.5,1137,2.1,3,FALSE,18,2,Fake
Footwear,456.63,S901,1.3,2061,4.8,4,TRUE,58,2,Fake
Watches,179.69,S677,1.8,4469,1.7,5,TRUE,59,12,Fake
Footwear,1230.26,S914,4.2,4090,1.6,3,TRUE,32,11,Fake
Home,960.89,S187,1.4,2033,3.6,3,TRUE,82,10,Fake
Watches,1448.92,S540,1.4,807,2,5,TRUE,57,6,Fake
Watches,786.46,S456,2.9,3589,3.9,4,FALSE,8,5,Fake
Electronics,1275.28,S763,1.4,1346,4.7,2,TRUE,70,3,Fake
Clothing,892.38,S498,1,1759,1.8,1,TRUE,68,3,Fake
Footwear,1269.82,S732,1.7,2436,4.7,5,TRUE,86,3,Fake
Watches,89.88,S467,4.8,3969,1.5,4,FALSE,52,11,Fake
Watches,259.21,S678,1.1,1806,2.2,3,TRUE,68,5,Fake
Home,1142.41,S551,3.2,3482,1.4,2,FALSE,4,8,Fake
Clothing,217.46,S311,4.3,486,3.3,5,FALSE,76,9,Fake
Electronics,955.91,S814,2.4,518,4.2,4,TRUE,54,14,Fake
Footwear,1244.23,S445,3.2,1069,3.3,4,FALSE,87,13,Fake
Electronics,34.26,S978,1.6,3739,1,4,TRUE,88,15,Fake
Footwear,1312.89,S997,2.1,2952,2,3,TRUE,6,7,Fake
Electronics,557.67,S406,1.5,1090,3.6,2,TRUE,67,10,Fake
Clothing,888.47,S493,2.4,3517,2.3,2,TRUE,35,11,Fake
Home,1480.45,S424,1.5,4656,2.7,5,TRUE,60,13,Fake
Home,30.55,S320,1.2,495,4.8,4,FALSE,80,12,Fake
Clothing,809.22,S500,3.3,541,2.2,4,TRUE,7,4,Fake
Clothing,244.39,S891,1.4,4701,3.7,1,TRUE,65,1,Fake
Electronics,78.51,S472,2.5,1229,1.7,1,FALSE,28,6,Fake
Electronics,112.7,S576,4.5,2545,2.3,5,FALSE,1,6,Fake
Watches,693.1,S865,1.3,782,3,4,TRUE,75,10,Fake
Clothing,444.6,S971,2.3,3219,3.8,3,FALSE,57,5,Fake
Clothing,1172.11,S698,1.4,865,1.7,4,FALSE,52,2,Fake
Clothing,329.93,S291,2.1,3653,4.5,1,TRUE,82,5,Fake
Electronics,1175.05,S467,2.9,3970,2.4,5,FALSE,49,5,Fake
Clothing,362.46,S425,4.2,2939,4.7,1,FALSE,72,10,Fake
Clothing,467.17,S805,2.2,1455,3.9,5,FALSE,72,1,Fake
Footwear,339.13,S679,1.4,4064,1.6,1,TRUE,44,6,Fake
Electronics,675.48,S371,1.8,555,2.4,1,TRUE,6,7,Fake
Clothing,682.42,S918,4.4,2415,1.1,3,TRUE,9,6,Fake
Watches,1100.66,S660,4.8,762,2.4,5,FALSE,90,1,Fake
Clothing,1335.73,S260,1.2,2712,1.8,2,FALSE,89,9,Fake
Home,994.29,S404,2,406,2.6,5,FALSE,19,1,Fake
